MR ID,MR Logic,MTG ID,Design,Purpose,Source Input,,,Follow-up Input ,,,Follow-up Input 2*,,,Input Relation,Expected Output Relation,Source Output,Follow-up Output ,Follow-up Output 2,Actual Output Relation,Verdict
,,,,,Graph,start_node,end_node,Graph,start_node,end_node,Graph,start_node,end_node,,,,,,,
MR1,Graph Transposition ,MTG1,Shortest path (=11) is not greedy-first;  3-way branch at A,"Edge-direction handling, priority-queue update logic","A B 5
A C 3
A D 6
B C 6
B E 4
C E 6
C D 7
D F 2
D E 2
E G 3
E F 4
F G 5",A,G,"B A 5
C A 3
D A 6
C B 6
E B 4
E C 6
D C 7
F D 2
E D 2
G E 3
F E 4
G F 5",G,A,,,,FI = reverse all edges of SI,source distance == follow-up distance,"test file: maichi/TEST/MR1/MTG1/SI.txt
      start/end nodes: A -> G
        shortest path: ['A', 'D', 'E', 'G']
      total distance: 11.0","test file: maichi/TEST/MR1/MTG1/FI.txt
      start/end nodes: G -> A
        shortest path: ['G', 'E', 'D', 'A']
      total distance: 11.0",,source distance == follow-up distance,Satisfied
,,MTG2,"Two branching layers; 4 distinct paths, costs 5/8/9/12  ","Adjacency-list construction, < vs <= comparison  ","1 2 4
1 3 2
2 4 3
2 5 7
3 4 1
3 5 5
4 6 2
5 6 1",1,6,"2 1 4
3 1 2
4 2 3
5 2 7
4 3 1
5 3 5
6 4 2
6 5 1",6,1,,,,,,"test file: maichi/TEST/MR1/MTG2/SI.txt
      start/end nodes: 1 -> 6
        shortest path: ['1', '3', '4', '6']
      total distance: 5.0","test file: maichi/TEST/MR1/MTG2/FI.txt
      start/end nodes: 6 -> 1
        shortest path: ['6', '4', '3', '1']
      total distance: 5.0",,source distance == follow-up distance,Satisfied
,,MTG3,P→Q→S = 12 vs P→R→Q→S = 8; algorithm must override initial estimate        ,"Distance-relaxation bug (new_path < dist[neighbor])
","P Q 10
P R 3
R Q 3
Q S 2
R S 8",P,S,"Q P 10
R P 3
Q R 3
S Q 2
S R 8",S,P,,,,,,"test file: maichi/TEST/MR1/MTG3/SI.txt
      start/end nodes: P -> S
        shortest path: ['P', 'R', 'Q', 'S']
      total distance: 8.0","test file: maichi/TEST/MR1/MTG3/FI.txt
      start/end nodes: S -> P
        shortest path: ['S', 'Q', 'R', 'P']
      total distance: 8.0",,source distance == follow-up distance,Satisfied
,,MTG4,"Two paths with identical cost (9); 
 tie-breaking must not affect distance ","Tie-breaking corruption, distance inflation/deflation on equal paths ","X Y 4
X Z 4
Y W 3
Z W 3
W V 2",X,V,"Y X 4
Z X 4
W Y 3
W Z 3
V W 2",V,X,,,,,,"test file: maichi/TEST/MR1/MTG4/SI.txt
      start/end nodes: X -> V
        shortest path: ['X', 'Z', 'W', 'V']
      total distance: 9.0","test file: maichi/TEST/MR1/MTG4/FI.txt
      start/end nodes: V -> X
        shortest path: ['V', 'W', 'Z', 'X']
      total distance: 9.0",,source distance == follow-up distance,Satisfied
,,MTG5,S→B→T = 101; cheap 3-hop S→A→C→T = 3 + distractor A→D→T = 52,Settling T on first reachability instead of after all cheaper paths are explored ,"S A 1
A C 1
C T 1
S B 100
B T 1
A D 50
D T 1",S ,T,"A S 1
C A 1
T C 1
B S 100
T B 1
D A 50
T D 1",T,S,,,,,,"test file: maichi/TEST/MR1/MTG5/SI.txt
      start/end nodes: S -> T
        shortest path: ['S', 'A', 'C', 'T']
      total distance: 3.0","test file: maichi/TEST/MR1/MTG5/FI.txt
      start/end nodes: T -> S
        shortest path: ['T', 'C', 'A', 'S']
      total distance: 3.0",,source distance == follow-up distance,Satisfied
MR2,Input Permutation,MTG6,Optimal 4-hop path (A→D→E→G=11); greedy-first trap at A (cheapest first hop A→C=3 is not on optimal path); 3-way branch,Distance relaxation correctness; optimal substructure; priority-queue update across multiple hops,"A B 5
A C 3
A D 6
B C 6
B E 4
C E 6
C D 7
D F 2
D E 2
E G 3
E F 4
F G 5",A,G,"A B 5
A C 3
A D 6
B C 6
B E 4
C E 6
C D 7
D F 2
D E 2
E G 3
E F 4
F G 5",A,E,"A B 5
A C 3
A D 6
B C 6
B E 4
C E 6
C D 7
D F 2
D E 2
E G 3
E F 4
F G 5",E,G,"FI1 = same graph as SI; command start→mid (A→E)
FI2 = same graph as SI; command mid→end (E→G)","source distance == FI1 distance + FI2 distance
11.0 == 8.0 + 3.0","test file: maichi/TEST/MR2/MTG1/SI.txt
      start/end nodes: A -> G
        shortest path: ['A', 'D', 'E', 'G']
      total distance: 11.0","test file: maichi/TEST/MR2/MTG1/FI1.txt
      start/end nodes: A -> E
        shortest path: ['A', 'D', 'E']
      total distance: 8.0","test file: maichi/TEST/MR2/MTG1/FI2.txt
      start/end nodes: E -> G
        shortest path: ['E', 'G']
      total distance: 3.0",source distance == FI1 distance + FI2 distance,Satisfied
,,MTG7,Diamond graph; intermediate at first hop (node 3); FI2 itself is a 2-branch sub-problem,Subpath correctness at first-hop boundary; priority-queue initialisation; FI2 sub-problem exercises branching independently,"1 2 4
1 3 2
2 4 3
2 5 7
3 4 1
3 5 5
4 6 2
5 6 1",1,6,"1 2 4
1 3 2
2 4 3
2 5 7
3 4 1
3 5 5
4 6 2
5 6 1",1,3,"1 2 4
1 3 2
2 4 3
2 5 7
3 4 1
3 5 5
4 6 2
5 6 1",3,6,,"source distance == FI1 distance + FI2 distance;

5.0 == 2.0 + 3.0","test file: maichi/TEST/MR2/MTG2/SI.txt
      start/end nodes: 1 -> 6
        shortest path: ['1', '3', '4', '6']
      total distance: 5.0","test file: maichi/TEST/MR2/MTG2/FI1.txt
      start/end nodes: 1 -> 3
        shortest path: ['1', '3']
      total distance: 2.0","test file: maichi/TEST/MR2/MTG2/FI2.txt
      start/end nodes: 3 -> 6
        shortest path: ['3', '4', '6']
      total distance: 3.0",source distance == FI1 distance + FI2 distance,Satisfied
,,MTG8,intermediate O in middle of path,Relaxation over decoy direct edge; FI1 tests whether algorithm overrides initial greedy estimate for M→O,"M N 2
M O 8
N P 3
N O 1
O P 1
P Q 4",M,Q,"M N 2
M O 8
N P 3
N O 1
O P 1
P Q 4",M,O,"M N 2
M O 8
N P 3
N O 1
O P 1
P Q 4",O,Q,,"source distance == FI1 distance + FI2 distance;

8.0 == 3.0 + 5.0","test file: maichi/TEST/MR2/MTG3/SI.txt
      start/end nodes: M -> Q
        shortest path: ['M', 'N', 'O', 'P', 'Q']
      total distance: 8.0","test file: maichi/TEST/MR2/MTG3/FI1.txt
      start/end nodes: M -> O
        shortest path: ['M', 'N', 'O']
      total distance: 3.0","test file: maichi/TEST/MR2/MTG3/FI2.txt
      start/end nodes: O -> Q
        shortest path: ['O', 'P', 'Q']
      total distance: 5.0",source distance == FI1 distance + FI2 distance,Satisfied
,,MTG9,C is a two-path convergence point (via A cost 3 vs via B cost 6); intermediate C targets the convergence node,< vs <= comparison at convergence node; distance overwrite bug when a node is reachable from two sources,"S A 1
S B 5
A C 2
B C 1
C D 3
A D 10
D T 2",S,T,"S A 1
S B 5
A C 2
B C 1
C D 3
A D 10
D T 2",S,C,"S A 1
S B 5
A C 2
B C 1
C D 3
A D 10
D T 2",C,T,,"source distance == FI1 distance + FI2 distance;

8.0 == 3.0 + 5.0","test file: maichi/TEST/MR2/MTG4/SI.txt
      start/end nodes: S -> T
        shortest path: ['S', 'A', 'C', 'D', 'T']
      total distance: 8.0","test file: maichi/TEST/MR2/MTG4/FI1.txt
      start/end nodes: S -> C
        shortest path: ['S', 'A', 'C']
      total distance: 3.0","test file: maichi/TEST/MR2/MTG4/FI2.txt
      start/end nodes: C -> T
        shortest path: ['C', 'D', 'T']
      total distance: 5.0",source distance == FI1 distance + FI2 distance,Satisfied
,,MTG10,intermediate A is the immediate first hop,Subpath at immediate first-hop boundary; FI1 trivial sanity check; FI2 exercises branching from the intermediate node,"X A 3
A B 2
A C 5
B Y 4
C Y 2
X B 10",X,Y,"X A 3
A B 2
A C 5
B Y 4
C Y 2
X B 10",X,A,"X A 3
A B 2
A C 5
B Y 4
C Y 2
X B 10",A,Y,,9.0 == 3.0 + 6.0,"test file: maichi/TEST/MR2/MTG5/SI.txt
      start/end nodes: X -> Y
        shortest path: ['X', 'A', 'B', 'Y']
      total distance: 9.0","test file: maichi/TEST/MR2/MTG5/FI1.txt
      start/end nodes: X -> A
        shortest path: ['X', 'A']
      total distance: 3.0","test file: maichi/TEST/MR2/MTG5/FI2.txt
      start/end nodes: A -> Y
        shortest path: ['A', 'B', 'Y']
      total distance: 6.0",source distance == FI1 distance + FI2 distance,Satisfied
MR3,Input Permutation,MTG11, random full shuffle ,Adjacency-list construction order-independence,"A B 5
A C 3
A D 6
B C 6
B E 4
C E 6
C D 7
D F 2
D E 2
E G 3
E F 4
F G 5",A,G,"F G 5
D E 2
E G 3
A C 3
B E 4
C D 7
D F 2
A B 5
E F 4
C E 6
A D 6
B C 6",A,G,,,,FI = same 12 edges as SI in shuffled order; query unchanged,source distance == follow-up distance,"test file: maichi/TEST/MR3/MTG1/SI.txt
      start/end nodes: A -> G
        shortest path: ['A', 'D', 'E', 'G']
      total distance: 11.0","test file: maichi/TEST/MR3/MTG1/FI.txt
      start/end nodes: A -> G
        shortest path: ['A', 'D', 'E', 'G']
      total distance: 11.0",,source distance == follow-up distance,Satisfied
,,MTG12,node 1 edges appear last in FI; terminal edge 5→6=1 appears first,array-based builders that skip source initialisation for nodes not yet seen,"1 2 4
1 3 2
2 4 3
2 5 7
3 4 1
3 5 5
4 6 2
5 6 1",1,6,"5 6 1
4 6 2
3 5 5
3 4 1
2 5 7
2 4 3
1 3 2
1 2 4",1,6,,,,,,"test file: maichi/TEST/MR3/MTG2/SI.txt
      start/end nodes: 1 -> 6
        shortest path: ['1', '3', '4', '6']
      total distance: 5.0","test file: maichi/TEST/MR3/MTG2/FI.txt
      start/end nodes: 1 -> 6
        shortest path: ['1', '3', '4', '6']
      total distance: 5.0",,source distance == follow-up distance,Satisfied
,,MTG13,P–T graph (6 edges); P has 3 outgoing edges at non-consecutive lines in SI; FI groups all P-edges consecutively,"keeps only the last P-edge, discarding P→R=1 and breaking the optimal path","P Q 4
R S 2
P R 1
S T 3
P S 10
Q T 5",P,T,"P Q 4
P R 1
P S 10
R S 2
S T 3
Q T 5",P,T,,,,,,"test file: maichi/TEST/MR3/MTG3/SI.txt
      start/end nodes: P -> T
        shortest path: ['P', 'R', 'S', 'T']
      total distance: 6.0","test file: maichi/TEST/MR3/MTG3/FI.txt
      start/end nodes: P -> T
        shortest path: ['P', 'R', 'S', 'T']
      total distance: 6.0",,source distance == follow-up distance,Satisfied
,,MTG14,FI moves all interior edges (C→D/D→E/B→E) to the top,Forward-reference handling,"A B 2
C D 4
A C 3
D E 1
B E 7
A D 8",A,E,"C D 4
D E 1
B E 7
A B 2
A C 3
A D 8",A,E,,,,,,"test file: maichi/TEST/MR3/MTG4/SI.txt
      start/end nodes: A -> E
        shortest path: ['A', 'C', 'D', 'E']
      total distance: 8.0","test file: maichi/TEST/MR3/MTG4/FI.txt
      start/end nodes: A -> E
        shortest path: ['A', 'C', 'D', 'E']
      total distance: 8.0",,source distance == follow-up distance,Satisfied
,,MTG15,terminal edge 7→8=1 first; node 1 edges at lines 4 and 7; optimal 5-hop path spans 4 different source nodes all in different positions,Stress tes,"1 2 3
1 3 7
2 4 2
3 4 1
4 5 4
2 5 10
3 6 5
5 7 2
6 7 3
7 8 1",1,8,"7 8 1
3 6 5
4 5 4
1 3 7
6 7 3
2 5 10
1 2 3
5 7 2
3 4 1
2 4 2",1,8,,,,,,"test file: maichi/TEST/MR3/MTG5/SI.txt
      start/end nodes: 1 -> 8
        shortest path: ['1', '2', '4', '5', '7', '8']
      total distance: 12.0","test file: maichi/TEST/MR3/MTG5/FI.txt
      start/end nodes: 1 -> 8
        shortest path: ['1', '2', '4', '5', '7', '8']
      total distance: 12.0",,source distance == follow-up distance,Satisfied